Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,TempWater,TempWater Provider
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197307,Water - Precipitation - rain,1973-07-15,1973-07-01,1973-07-31,,-4.06,International Atomic Energy Agency,-28.6,International Atomic Energy Agency,19.2,1.4,International Atomic Energy Agency,68,29.4,31.6,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197308,Water - Precipitation - rain,1973-08-15,1973-08-01,1973-08-31,,-3.69,International Atomic Energy Agency,-25.3,International Atomic Energy Agency,13.5,1,International Atomic Energy Agency,97,29,31.6,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197309,Water - Precipitation - rain,1973-09-15,1973-09-01,1973-09-30,,-7.99,International Atomic Energy Agency,-57.7,International Atomic Energy Agency,11.3,1.2,International Atomic Energy Agency,365,28.3,32.3,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197310,Water - Precipitation - rain,1973-10-15,1973-10-01,1973-10-31,,-7.68,International Atomic Energy Agency,-51.6,International Atomic Energy Agency,11.9,0.7,International Atomic Energy Agency,114,28.1,30.7,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197311,Water - Precipitation - rain,1973-11-15,1973-11-01,1973-11-30,,-4.93,International Atomic Energy Agency,-34.5,International Atomic Energy Agency,14,0.8,International Atomic Energy Agency,37,26.2,25.9,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197312,Water - Precipitation - rain,1973-12-15,1973-12-01,1973-12-31,,0.46,International Atomic Energy Agency,7.9,International Atomic Energy Agency,22.7,3.9,International Atomic Energy Agency,11,24.2,21.1,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197401,Water - Precipitation - rain,1974-01-15,1974-01-01,1974-01-31,,,,,,,,,1,25.2,24,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197402,Water - Precipitation - unspecified (not reported),1974-02-15,1974-02-01,1974-02-28,,,,,,,,,,26.9,26.1,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197403,Water - Precipitation - rain,1974-03-15,1974-03-01,1974-03-31,,3.46,International Atomic Energy Agency,,,11.1,3.4,International Atomic Energy Agency,10,28.6,29.6,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197404,Water - Precipitation - rain,1974-04-15,1974-04-01,1974-04-30,,-3.25,International Atomic Energy Agency,-16.6,International Atomic Energy Agency,11.9,0.7,International Atomic Energy Agency,130,28.5,31,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197405,Water - Precipitation - rain,1974-05-15,1974-05-01,1974-05-31,,-5.35,International Atomic Energy Agency,-35,International Atomic Energy Agency,14.1,0.6,International Atomic Energy Agency,179,28.4,31.3,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197406,Water - Precipitation - rain,1974-06-15,1974-06-01,1974-06-30,,-4.83,International Atomic Energy Agency,-27.6,International Atomic Energy Agency,12.5,0.7,International Atomic Energy Agency,82,28.3,30.1,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197407,Water - Precipitation - rain,1974-07-15,1974-07-01,1974-07-31,,-5.95,International Atomic Energy Agency,-41.7,International Atomic Energy Agency,15.5,0.9,International Atomic Energy Agency,130,28.1,29.7,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197408,Water - Precipitation - rain,1974-08-15,1974-08-01,1974-08-31,,-6.96,International Atomic Energy Agency,-47.9,International Atomic Energy Agency,12.7,0.5,International Atomic Energy Agency,161,27.9,30.4,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197409,Water - Precipitation - rain,1974-09-15,1974-09-01,1974-09-30,,-9.38,International Atomic Energy Agency,-67.3,International Atomic Energy Agency,11.1,0.6,International Atomic Energy Agency,220,28.1,30.8,,
